EOS #,n0[fm^-3],Lambda_0[M_N],gamma[1],a[GeV],b[GeV]
00001,1.6915279572523005,2.3609245021702456,1,0.010290616819722565,0.017151778196399278
00002,0.48304031121183855,0.6278342521998034,1,0.021908059376625103,0.027664478135868923
00003,2.110721548619706,1.101985609654984,1,0.01803728311029316,0.03936456760572634
00004,0.8656373097926262,7.858033473538238,1,0.03890074299707761,0.021318330699311362
00005,1.2088059997935927,2.2321986952348074,1,0.0345792831209864,0.02654011622852349
00006,2.632192685594276,2.704268222659409,1,0.013937563101224197,0.021743385230225034
00007,2.9484103149581165,6.435647783968443,1,0.01684580093392064,0.024439726446075147
00008,1.2558833963514187,3.955625713388648,1,0.007907527165695363,0.03339234154947609
00009,2.7720389892265938,6.541235462446434,1,0.0025029890370344273,0.01307452594586933
00010,3.121393977968812,3.064716070897045,1,0.036923262329622814,0.029502260650709343
00011,1.675033460340786,1.1171699336474086,1,0.009552926086557719,0.024736832359262606
00012,2.7891973957632588,6.940668312877079,1,0.004066107610187853,0.02598123268418975
00013,2.5797802269947723,1.6252300879249926,1,0.03801842521229057,0.0022256896509543606
00014,1.3282569740199,4.770465843517807,1,0.004173546805561926,0.029216477889947558
00015,1.6136005367172561,4.632604965687746,1,0.030622606668363965,0.03482131718784702
00016,1.8821894664735725,8.121813986851748,1,0.00476053829692091,0.01069701019557276
00017,2.794269117523198,0.38892285824370243,1,0.007257819207175307,0.017153545610992287
00018,2.1777120014037004,2.5452825494979363,1,0.028080456471631897,0.023797368981440026
00019,2.887608369213548,4.494909592279337,1,0.03595166538850779,0.029136051623967776
00020,2.1041988930973314,1.966644502874564,1,0.00961152367907238,0.027003052909428626
00021,2.814188493595267,4.490332667689789,1,0.039988274274064095,0.030078528810340528
00022,2.729027388777288,4.015123343227147,1,0.017542213933017883,0.0035338123896988087
00023,2.3446022843910574,6.134486920959061,1,0.017042992932464966,0.012353433775222723
00024,1.2534761228762505,0.20886771947693328,1,0.03495601652307993,0.038584311850819925
00025,2.9569581898235238,7.313206602707952,1,0.007311593997180269,0.026934583488094934
00026,1.803535069982579,3.283337885818463,1,0.021787367814581255,0.0318346907190041
00027,3.072351550273388,7.250936099983661,1,0.034865846186926175,0.029342063675449847
00028,2.645474698734418,2.0553026570197317,1,0.006246433006950863,0.007306806143871112
00029,2.277856578635073,8.005261927349673,1,0.02572294934383258,0.008304975541007082
00030,1.6690336233022438,2.606916094953304,1,0.03441653329914686,0.022883086990293955
00031,1.5809252059425853,4.155288836353828,1,0.03600559651710221,0.0031371782318172143
00032,1.5470478419723646,8.57498304296587,1,0.005557125873943658,0.011451420687977533
00033,1.984370688560163,8.780450989243295,1,0.007616319941955616,0.022956858692430547
00034,2.8374571513958196,3.9602287511721896,1,0.039296562180778816,0.035095448924630616
00035,2.41667889326726,6.243068729850123,1,0.022047163547556366,0.032001196673269276
